import time: self [us] | cumulative | imported package
import time:       622 |        622 |   _io
import time:        91 |         91 |   marshal
import time:       641 |        641 |   posix
import time:       763 |       2116 | _frozen_importlib_external
import time:       194 |        194 |   time
import time:       208 |        401 | zipimport
import time:        80 |         80 |     _codecs
import time:       520 |        600 |   codecs
import time:       782 |        782 |   encodings.aliases
import time:       974 |       2354 | encodings
import time:       438 |        438 | encodings.utf_8
import time:       184 |        184 | _signal
import time:        51 |         51 |     _abc
import time:       209 |        260 |   abc
import time:       279 |        538 | io
import time:        75 |         75 |       _stat
import time:        84 |        159 |     stat
import time:      1502 |       1502 |     _collections_abc
import time:        93 |         93 |       genericpath
import time:       133 |        225 |     posixpath
import time:       605 |       2489 |   os
import time:       128 |        128 |   _sitebuiltins
import time:       236 |        236 |     __future__
import time:       809 |       1044 |   _virtualenv
import time:       179 |        179 |     apport_python_hook
import time:       198 |        377 |   sitecustomize
import time:      1427 |       5464 | site
import time:       517 |        517 |       warnings
import time:       276 |        793 |     importlib
import time:        89 |        881 |   importlib.machinery
import time:       361 |        361 |     importlib._abc
import time:       284 |        284 |           itertools
import time:       344 |        344 |           keyword
import time:       191 |        191 |             _operator
import time:       693 |        884 |           operator
import time:       416 |        416 |           reprlib
import time:       132 |        132 |           _collections
import time:      1818 |       3876 |         collections
import time:       788 |        788 |         types
import time:       109 |        109 |         _functools
import time:      1396 |       6168 |       functools
import time:       463 |        463 |       _weakrefset
import time:      1227 |       7856 |     threading
import time:       291 |       8508 |   importlib.util
import time:       200 |       9589 | runpy
import time:       259 |        259 | envhub
import time:       321 |        321 |     collections.abc
import time:       221 |        221 |       concurrent
import time:      2831 |       2831 |             enum
import time:       146 |        146 |               _sre
import time:       512 |        512 |                 re._constants
import time:       729 |       1241 |               re._parser
import time:       200 |        200 |               re._casefix
import time:       856 |       2441 |             re._compiler
import time:       326 |        326 |             copyreg
import time:      1049 |       6645 |           re
import time:       309 |        309 |                 token
import time:        83 |         83 |                 _tokenize
import time:      1821 |       2212 |               tokenize
import time:       352 |       2564 |             linecache
import time:      1777 |       1777 |             textwrap
import time:      1320 |       1320 |             contextlib
import time:      3107 |       8766 |           traceback
import time:       824 |        824 |           weakref
import time:        78 |         78 |             _string
import time:      1280 |       1358 |           string
import time:        98 |         98 |           atexit
import time:      4003 |      21693 |         logging
import time:      1105 |      22797 |       concurrent.futures._base
import time:       402 |      23419 |     concurrent.futures
import time:       129 |        129 |     errno
import time:        92 |         92 |       _heapq
import time:       390 |        482 |     heapq
import time:       369 |        369 |       _socket
import time:       350 |        350 |         math
import time:       106 |        106 |         select
import time:      1093 |       1548 |       selectors
import time:       169 |        169 |       array
import time:      2576 |       4661 |     socket
import time:       151 |        151 |         _locale
import time:      1737 |       1887 |       locale
import time:       963 |        963 |       signal
import time:        96 |         96 |       fcntl
import time:       119 |        119 |       msvcrt
import time:        39 |         39 |       _posixsubprocess
import time:      1441 |       4543 |     subprocess
import time:      2643 |       2643 |       _ssl
import time:       261 |        261 |           _struct
import time:       204 |        464 |         struct
import time:        99 |         99 |         binascii
import time:       453 |       1015 |       base64
import time:      5446 |       9103 |     ssl
import time:       449 |        449 |     asyncio.constants
import time:      1868 |       1868 |           _ast
import time:      2053 |       3920 |         ast
import time:        56 |         56 |             _opcode
import time:       616 |        671 |           opcode
import time:      1493 |       2163 |         dis
import time:      3625 |       9708 |       inspect
import time:       237 |       9945 |     asyncio.coroutines
import time:       330 |        330 |         _contextvars
import time:       361 |        691 |       contextvars
import time:       386 |        386 |       asyncio.format_helpers
import time:       303 |        303 |         asyncio.base_futures
import time:       400 |        400 |         asyncio.exceptions
import time:       284 |        284 |         asyncio.base_tasks
import time:       440 |       1424 |       _asyncio
import time:       827 |       3326 |     asyncio.events
import time:       633 |        633 |     asyncio.futures
import time:       448 |        448 |     asyncio.protocols
import time:       454 |        454 |       asyncio.transports
import time:       153 |        153 |       asyncio.log
import time:      1023 |       1628 |     asyncio.sslproto
import time:        93 |         93 |         _typing
import time:      6508 |       6600 |       typing
import time:       256 |        256 |         asyncio.mixins
import time:      1003 |       1258 |       asyncio.locks
import time:       651 |        651 |         asyncio.timeouts
import time:       898 |       1549 |       asyncio.tasks
import time:       634 |      10040 |     asyncio.staggered
import time:       267 |        267 |     asyncio.trsock
import time:      2708 |      72095 |   asyncio.base_events
import time:       542 |        542 |   asyncio.runners
import time:       430 |        430 |   asyncio.queues
import time:      1019 |       1019 |   asyncio.streams
import time:       464 |        464 |   asyncio.subprocess
import time:       474 |        474 |   asyncio.taskgroups
import time:       172 |        172 |   asyncio.threads
import time:       732 |        732 |     asyncio.base_subprocess
import time:      1163 |       1163 |     asyncio.selector_events
import time:      1328 |       3222 |   asyncio.unix_events
